87,422
392,223
312,409
36,234
153,401
304,371
255,425
31,67
192,3
58,159
56,420
198,138
313,76
1,326
205,192
371,153
431,263
364,157
16,26
394,359
34,43
170,489
241,150
159,453
186,151
171,390
490,451
307,378
83,158
109,416
483,345
331,421
401,426
89,482
455,146
63,68
63,258
126,57
161,348
457,91
315,211
11,357
329,348
178,99
149,372
160,82
163,103
183,5
399,289
468,325
103,451
201,82
292,239
392,128
481,161
105,447
472,295
218,7
228,195
4,136
481,433
237,472
91,373
441,159
376,300
394,156
182,175
246,350
163,140
137,279
310,309
354,100
42,460
366,470
256,381
359,203
150,360
375,420
212,469
390,221
464,297
485,251
168,456
283,315
183,423
179,95
140,476
409,177
232,311
47,466
382,397
304,474
266,60
225,18
288,8
481,238
435,155
118,182
455,25
377,347
249,205
308,404
149,144
87,168
417,379
461,473
332,113
482,298
276,16
355,11
181,462
18,69
386,184
274,222
447,338
312,89
431,349
261,480
420,131
343,370
377,142
253,264
304,486
156,406
369,451
55,96
222,364
174,124
387,478
71,112
58,160
183,223
267,443
418,124
157,221
478,324
141,323
443,117
380,4
155,343
155,337
192,297
41,336
201,393
343,96
56,425
29,436
183,66
178,179
427,8
82,151
283,449
17,372
404,43
20,276
136,401
54,322
23,361
414,226
355,169
433,396
142,266
74,56
399,469
144,332
22,20
426,180
461,424
384,33
306,42
255,135
32,22
248,153
21,462
378,197
33,424
29,282
110,144
377,135
236,104
305,397
253,447
382,133
292,74
271,212
34,203
485,198
300,265
277,53
109,97
178,191
164,279
171,346
421,396
487,52
322,13
102,206
74,51
418,117
486,450
139,435
90,13
57,39
357,309
401,160
265,421
126,31
439,91
358,15
432,49
247,226
228,147
165,314
103,25
140,235
203,89
122,478
461,138
387,373
443,369
9,87
78,396
279,114
377,287
226,100
31,384
196,360
142,167
162,65
30,122
431,442
398,24
174,173
122,358
480,276
215,153
123,444
327,454
472,244
206,133
127,389
448,374
433,170
316,181
6,341
245,166
290,438
4,332
128,136
8,143
105,367
350,27
164,246
317,130
103,98
132,420
486,379
232,306
45,372
118,295
91,439
152,153
131,483
75,41
24,219
291,227
343,110
253,359
394,462
425,14
13,448
410,299
460,55
187,257
290,324
18,174
227,45
31,185
465,207
53,66
96,390
316,72
42,150
361,75
175,252
61,393
147,463
467,463
447,393
21,149
195,378
441,59
273,117
448,294
301,377
158,366
349,230
385,160
1,64
145,180
466,364
111,86
54,338
341,298
463,152
210,248
186,171
44,275
464,399
27,410
410,409
420,187
264,168
82,12
317,377
14,38
64,307
404,233
82,321
89,440
152,374
150,27
378,86
324,12
272,418
301,397
110,130
394,447
298,246
278,449
312,98
300,336
193,260
308,31
